id,alim_nom_fr,portions,quantities
322ca624-db1a-4b09-afb3-3b949c2fede0,Farine de blé tendre ou froment T80,tasse,120g
474cdebc-ddbb-4312-91ec-a834dc5e54db,"Pâte sablée, cuite",part,50g
559f0971-f214-40fb-b381-4f9c7f2e9829,"Pâte sablée, crue",part,50g
f58f5650-bb83-4f8d-8db6-7b43cb65e4ff,"Pâte feuilletée pur beurre, cuite","tranche, feuille entière","30g, 200g"
26327b55-5432-4b90-bfc5-4ecc53293ac2,"Pâte phyllo ou Pâte filo, crue","feuille, paquet","5g, 200g"
11ae7c25-b46f-4486-a434-e6f789b8688a,Farine de maïs,"cuillère à soupe, tasse","10g, 120g"
da1b10cd-39f4-47b1-897a-e149bb0ead89,"Pâte sablée pur beurre, surgelée, crue","portion, pâte entière","50g, 300g"
0eadc8b1-789a-45da-927b-9e8987480491,"Pâte feuilletée pur beurre, crue","feuille, paquet","40g, 250g"
aeea47c4-55fd-44a2-b570-8c64eb348e0f,"Pâte feuilletée pur beurre, surgelée crue","feuille, paquet","40g, 250g"
b759c8a8-cf75-40f8-b96a-9930a72ec5db,Farine de pois chiche,"cuillère à soupe, tasse","10g, 120g"
1450dfb4-7db9-42d4-9dbf-90c27d689e28,"Khatfa feuille de brick, préemballée","feuille, paquet","10g, 200g"
235d80d3-232c-4d8f-91b6-5404c7f85aee,Pâte à pizza cuite,"part, pizza entière","60g, 300g"
cd4daf8b-7be2-42fe-8791-9f4b675b66d6,Farine de blé tendre ou froment T65,"cuillère à soupe, tasse","10g, 120g"
650f801c-90f3-403b-b01d-111547598c76,"Pâte brisée, pur beurre, cuite","part, tarte entière","40g, 200g"
15d6baf5-8469-41f9-bd04-bb0fdd5cd8ea,"Pâte brisée, matière grasse végétale, cuite","part, tarte entière","40g, 200g"
c5d545f5-a9e8-412e-bc27-89eeeb95d024,Farine de soja,"cuillère à soupe, tasse","10g, 120g"
9af3689c-81b3-4a4d-ad51-e86f84357e44,Farine de blé tendre ou froment T110,"cuillère à soupe, tasse","10g, 120g"
8f755537-b1b3-4b8c-abef-2e2d9767c85e,Farine de blé tendre ou froment T150,"cuillère à soupe, tasse","10g, 120g"
b9cb2eb4-520e-47b9-8997-1a1d266816ba,Farine de blé tendre ou froment T55 (pour pains),"cuillère à soupe, tasse","10g, 120g"
857c5f23-07d5-4dc3-bc6f-afea4ae1ee0f,Farine de blé tendre ou froment T45 (pour pâtisserie),"cuillère à soupe, tasse","10g, 120g"
142beb13-412f-4c2e-be25-52e953b1b63a,Farine d'épeautre (grand épeautre),"cuillère à soupe, tasse","10g, 120g"
0ccc7ff4-c0cb-443e-9756-b55a7fbfda40,Amidon de maïs ou fécule de maïs,"cuillère à soupe, tasse","10g, 120g"
962cc0b8-fa3a-45e3-87d5-236d75a135c3,Farine de seigle T85,"cuillère à soupe, tasse","10g, 120g"
dc8a19d6-35fd-4bf8-a300-c3d1e0757d87,Farine de seigle T130,"cuillère à soupe, tasse","10g, 120g"
b753c880-6aed-427f-9c70-cd0e696176e4,Farine de sarrasin,"cuillère à soupe, tasse","10g, 120g"
c2497856-9aaa-4a54-95ff-27e06a2b39d0,Farine de millet,"cuillère à soupe, tasse","10g, 120g"
a4b793ad-6067-48e0-983b-2ce553f107a1,"Pâte brisée, pur beurre, surgelée, crue","part, pâte entière","50g, 300g"
1cc0bd4d-468d-4579-b4e9-37dc928e9e77,"Pâte à pizza fine, crue","part, pizza entière","50g, 300g"
dc746314-9a55-4010-b875-9b538127c8f2,"Glace à l'eau ou sorbet ou crème glacée, tout parfum (aliment moyen)","portion, bac","70g, 500g"
c8a7026c-a4aa-442b-bda2-e10fb7fa0050,"Sorbet, en bac","portion, bac","70g, 500g"
6719ab39-41e2-4f69-bac7-76b648134240,Glace à l'eau,bâtonnet,70g
34d474b6-3a56-4c67-9085-48e2d8470a2a,"Agar (algue), séché","cuillère à café, paquet","2g, 100g"
8286d8fc-856c-43a9-8196-b42a93dc3555,Huile de foie de morue,cuillère à café,5ml
888d1ad9-a9ef-46fb-8809-c862ae4631bb,Lécithine de soja,cuillère à soupe,15ml
2c133aca-a6df-4b80-aa9b-ea84407aa3f9,"Limande-sole, cuite à la vapeur","filet, poisson entier","100g, 300g"
48366086-cac1-427b-9075-679a22f676ab,Pan bagnat,sandwich entier,200g
be8477bc-18b5-4af9-bc01-cf0553604a68,Pêche melba,"coupe, portion familiale","150g, 500g"
cd2af09c-9762-4a01-ab03-4e1efd4c90e7,"Laurier, feuille","feuille, paquet","1g, 30g"
2d29c091-3243-4318-a6ca-87e5c2b8ca27,"Éperlan, cru","portion, poisson entier","50g, 200g"
1fc313da-6ccf-47aa-9b02-815440b45bfa,Vermicelles multicolores,"cuillère à soupe, paquet","10g, 250g"
9c813e0b-84d4-40a1-a937-c347071e569d,"Sorbet, cône",cône,70g
18f52f59-fcd3-4b03-a0d9-0e78a321fb36,"Feuille de brick, cuite à sec sans matière grasse","feuille, paquet","5g, 200g"
1acb1930-f667-44aa-a86a-6a9e1730f2fe,Huile de carthame,cuillère à soupe,15ml
0df89dd1-368d-41dc-8ae0-43cfaf7f7214,Sucre roux,"cuillère à café, tasse","5g, 100g"
f28be2d5-b1b2-4f33-afdf-b1663fab2a86,Glace au yaourt,"portion, bac","70g, 500g"
46447b8c-5f74-40ca-98c8-827fae3cb6f3,Chouquette,"unité, paquet","15g, 250g"
78d76786-8cb0-40bc-b433-05c7e359141f,"Saupe, crue","portion, poisson entier","100g, 500g"
fc1315f0-901d-4cdf-b150-be3102ed51ab,Huile de saumon,cuillère à soupe,15ml
bcdba725-4d54-4b4b-a380-2d07c21ae965,"Sprat, cru","portion, poisson entier","50g, 300g"
a8829d63-9c2c-43d8-813e-a85f77c5c844,"Anchois, filets roulés aux câpres, semi-conserve, égoutté","filet, pot","10g, 100g"
06c36f41-f981-4d59-ba5f-73508ff2c039,"Brioche, sans précision","tranche, brioche entière","30g, 300g"
b4e13129-4614-4a67-af6f-8d3bef154e0a,Biscuit pâtissier meringué,"biscuit, paquet","15g, 250g"
e5dcebf4-fc4f-4cf8-ba23-7639d40d51af,"Pomme de terre, sans peau, rôtie/cuite au four","portion, kg","100g, 1000g"
81dc379c-f268-419c-a51b-4a0691221e57,"Pomme de terre, bouillie/cuite à l'eau","portion, kg","100g, 1000g"
2f0e1f84-e17e-4590-a498-f35c145307e7,"Matière grasse laitière à 25% MG, légère, ""à tartiner"", doux","cuillère à café, pot","5g, 250g"
6eca7d2a-90e2-4f90-9701-3ceaa084c0a6,"Coriandre, graine","cuillère à soupe, paquet","5g, 100g"
fd1ae9e8-bfff-4094-ae75-baf732c85288,Quatre épices,"cuillère à café, paquet","2g, 100g"
3fb4c24a-be93-448a-90b7-ee2d10b490d5,Mélange apéritif de graines salées et raisins secs,"poignée, paquet","30g, 250g"
bb7a94fb-4684-40d3-be17-69175b67bb76,"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté","cuillère à soupe, paquet","5g, 100g"
3abd3785-6f43-4194-aadb-1b13bda8187d,"Taboulé ou Salade de couscous, préemballé","portion, barquette","100g, 400g"
21d33f49-8812-4368-983f-3e915badfc60,"Salade de pomme de terre à la piémontaise, préemballée","portion, barquette","100g, 400g"
a0213cc5-83b2-4d33-9435-64890eaf4c51,"Crudité, sans assaisonnement (aliment moyen)","portion, barquette","100g, 400g"
6743c93a-c87d-40f8-8b3c-42b5f8d7c3b2,"Maquereau, rôti/cuit au four","filet, poisson entier","100g, 500g"
aa8fb4e9-8ad8-4d7a-bfe2-e4e01691fc55,Nem ou Pâté impérial,"unité, paquet","50g, 200g"
fa8f6111-d9b2-4082-9c04-39c29036df06,"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée","portion, barquette","100g, 400g"
aa1e5c76-125a-4ed7-a3c1-e13e34f27a8c,"Maquereau, frit","filet, poisson entier","100g, 500g"
020ab857-4880-4ad2-ad1e-724cd3b1ab1a,"Merlan, frit","filet, poisson entier","100g, 500g"
5ff174cb-16b3-461f-bf8c-03ad3b992a46,"Salade de chou ou Coleslaw, avec sauce, préemballée","portion, barquette","100g, 400g"
7a826dc7-a87d-432f-8dc0-01d3d558b45c,"Merlan, cuit à la vapeur","filet, poisson entier","100g, 500g"
ebd7b4fc-be88-4ba2-8666-90b0dc858980,"Cabillaud, rôti/cuit au four","filet, poisson entier","100g, 500g"
f8a1e66b-8ef9-4d01-b60a-1231ea98a93a,"Morue, salée, bouillie/cuite à l'eau","portion, kg","100g, 1000g"
6d5f4742-f6ed-4d6f-a331-4210b31d924d,"Cabillaud, cuit à la vapeur","Filet, Plat entier","150g, 500g"
f2397549-e3b6-4c76-b1c4-1b7be4c7d0c5,"Mulet, rôti/cuit au four",Filet,150g
b2bdad4b-d8cc-432e-89c5-e6e3be365758,Huile de sésame,Cuillère à soupe,15ml
abe3753a-074f-4a11-b65a-e7fd29daf269,"Raie, rôtie/cuite au four",Aile,200g
bf1640fe-7faf-429a-9ef0-64dfa8e6304a,"Roussette ou petite roussette ou saumonette, cuite",Portion,150g
f226414d-e97b-48d2-a0b6-0cbcbbfbc486,Macaron sec,Unité,10g
e33a243d-76bd-4c95-bd24-527d4d9f502a,"Saumon, cuit à la vapeur",Tranche,200g
d22d3d68-5300-48ce-959f-ec80ca6beb12,"Thon, rôti/cuit au four",Steak,150g
14a06dca-7e69-4dc3-80d7-b4a32e286108,"Sole, cuite à la vapeur",Filet,150g
dfd47dbc-32ec-4dc0-b7a9-e7968a8033ec,"Sole, rôtie/cuite au four",Filet,150g
8b6bde78-fd13-47b6-80b4-c86ea0e473f6,"Sole, bouillie/cuite à l'eau",Filet,150g
c6a60935-61ce-4188-b88d-16d11c98386b,"Églefin, grillé/poêlé",Filet,150g
6b2daec0-9d88-4dc3-8a7c-be70b36e40e8,"Sardine, grillée",Unité,30g
b31cd313-9676-4741-a24c-8edf9481c157,"Vivaneau, cuit",Filet,150g
32ac3b5b-be37-4477-b126-d426b20ccd4b,"Lieu jaune ou colin, cuit",Filet,150g
b5139bb9-4bd1-411b-a11b-d481d5e28f83,"Saumon, grillé/poêlé",Tranche,200g
7edc4e40-693a-470d-9731-9351ccd7b81a,"Saumon, élevage, rôti/cuit au four",Tranche,200g
eeb547b7-795c-4d54-b07e-719a65b3eff0,"Sablé pâtissier, artisanal",Biscuit,25g
b22b0011-9adc-4286-ba26-927d34472e80,"Julienne ou Lingue, cuite",Portion,150g
d73cda33-2d9f-41f2-b101-e6c5163b9450,"Flétan du Groënland ou flétan noir ou flétan commun, cuit à la vapeur",Tranche,200g
5946dcea-6d54-4cd7-9804-2e95837ced1c,"Sandwich baguette, jambon emmental, préemballé",Sandwich entier,250g
8c51c702-88fb-46c3-bb82-ebf4f5e6d7be,"Anguille, rôtie/cuite au four",Portion,150g
6438f61e-f488-4136-b808-ed322587d171,"Brochet, rôti/cuit au four",Portion,200g
07e8549e-604a-4dc7-859b-6abbebec27a1,"Carpe, rôtie/cuite au four",Portion,200g
cd1a1e7f-1ee5-4fcd-b356-ebc35d4a9b1b,"Perche, rôtie/cuite au four",Filet,150g
ffb5687e-c900-4f41-93b9-e5956ca9b944,"Truite, rôtie/cuite au four",Tranche,150g
7b03935c-ae90-4d3b-913c-dcbdba5b25c1,"Truite arc en ciel, élevage, rôtie/cuite au four",Tranche,150g
2c57528a-77a6-4fb6-af4e-f4102d768c92,"Panga, Pangasius, ou poisson-chat du Mékong, filet, cuit",Filet,150g
ca59ca9e-1a26-45bc-b478-cf7195463c01,"Bar commun ou loup, rôti/cuit au four",Filet,150g
8ac9b45f-3b65-4d54-afb1-bbdd80a06765,"Dorade (Daurade) royale, cuite au four",Portion,150g
5e842b49-d523-4930-9b8f-065b000d366a,"Bar rayé ou bar d'Amérique, cru",Filet,150g
3a02e1f2-67e8-4513-954d-697b626b68ec,"Lieu ou colin d'Alaska, cru",Filet,150g
0edfa60a-5cde-4d70-9b79-439d097565cf,"Saumon, cru, élevage",Tranche,150g
1676d427-6a06-4759-b5e2-5eed4a1a347e,"Turbot sauvage, cru",Filet,150g
65bc3dcc-1198-40f1-9d5b-b15a5393a332,"Thon listao ou Bonite à ventre rayé, cru",Steak,150g
8831f7bd-ccdb-4697-91cf-1f9f2026be9c,"Tarte aux noix de Saint-Jacques, préemballée",Part,100g
95dc817f-9568-440a-91ef-72b5b8414814,"Maquereau, fumé",Filet,75g
71ed527c-99c5-4b12-bf44-44639253d92b,"Thon rouge, cru",Steak,150g
1a0b413a-7905-4978-9678-87d7c2006b0a,"Bar commun ou loup, cru, sans précision",Filet,150g
31f32507-ce8c-4a59-8df9-b4cc050bb553,"Roussette ou petite roussette ou saumonette, crue",Portion,150g
7d16e3b0-7b89-4ce9-82b4-958b46d0174c,"Bar ou loup de l'Atlantique, cru",Filet,150g
0cce16f4-bc4c-4d98-8a04-ff9393b7feea,"Thon germon ou thon blanc, cru",Steak,150g
7700ee81-0005-419a-a6b4-2690c0c9fa94,"Clam, Praire ou Palourde, cru",Unité,40g
a7c6dadd-fe97-46d0-9211-94aeac7b5a9f,"Pastilla au poulet, préemballée",Part,200g
cbac3887-c9f2-42d7-8178-d54673c98516,"Quiche lorraine, préemballée",Part,130g
b4537b5a-256a-42d0-ba12-27bbd8e97d31,"Crêpe ou Galette fourrée béchamel jambon, préemballée",Crêpe entière,200g
e15a8862-1ccb-4ffd-a7da-6fb3f5b1be53,"Crêpe ou Galette fourrée béchamel jambon fromage, préemballée",Crêpe entière,200g
1b93c4ef-0a7f-4b3b-9870-f7921309b2a3,"Crêpe ou Galette fourrée béchamel champignon, préemballée",Crêpe entière,200g
a37b48b0-2066-41b6-9ae0-cc1dfe0741bd,"Tarte aux légumes, préemballée",Part,150g
cba0b370-7bcc-477f-8011-e2d04d9d032c,"Pizza jambon fromage, préemballée",Part,150g
d0c8c5d6-963b-403f-a162-651815deb4bc,"Tarte au fromage, préemballée",Part,150g
d545f46f-ca40-4bbe-8457-6d792fc37125,"Tarte à la provençale, préemballée",Part,150g
4194dfca-9db7-490f-9bd7-7224e7084dd8,"Pizza à la viande, type bolognaise, préemballée",Part,150g
187d2901-29a6-4471-a210-70989c2aedfe,Burritos,Burrito entier,200g
89487c4b-7863-4065-beaf-d8dcd3e90150,Fajitas,Fajita entière,150g
6c03ca8d-7959-4146-a195-618a7605465b,"Pizza au chorizo ou salami, préemballée",Part,150g
cb9c7832-a96f-4b4f-82a3-7079cf04e9fd,"Pizza aux fruits de mer, préemballée",Part,150g
902b5d78-b578-45aa-aa9b-e0e171cb88d3,"Pizza au saumon, préemballée",Part,150g
65a9cfb3-af27-4987-8545-c4147737d53e,"Pizza au chèvre et lardons, préemballée",Part,150g
74cf3743-ae50-414b-b52d-0f8cfd0ecc52,"Pizza aux légumes ou Pizza 4 saisons, préemballée",Part,150g
743945c4-be40-4aed-a303-44b18434f270,"Pizza champignons fromage, préemballée",Part,150g
5c823a62-9828-4ab7-b484-2bb7a45bf867,"Pizza 4 fromages, préemballée",Part,150g
109a0880-b872-4b8f-8a37-89f53c79a8b2,Pizza (aliment moyen),Part,150g
38824d98-acca-4a35-8f7c-e4288f6f88cf,"Pissaladière, préemballée",Part,150g
3788cf09-8d71-40fc-b55d-6d7e8feb97a1,"Tarte à l'oignon, préemballée",Part,150g
2f35322a-0054-47a6-8d75-936fdff9250d,"Seiche, crue",Portion,150g
ee8c690d-bb8d-488e-b373-e600a59d3862,"Pizza jambon fromage champignons ou pizza royale, reine ou regina, préemballée",Part,150g
af9b82b2-af75-4392-a87c-c5cd50a87273,"Crêpe ou Galette fourrée béchamel fromage, préemballée",Crêpe entière,200g
1750cc41-aeb4-4ce6-8fc3-80a9cdda3532,"Flammenkueche ou Tarte flambée aux lardons, préemballée",Part,150g
0cbfa675-b181-4238-8b0c-ebe560099cc6,"Crêpe ou Galette fourrée béchamel jambon fromage champignon, préemballée",Crêpe entière,200g
2863617f-735e-4647-b977-76476475c38f,"Tarte ou Tourte aux poireaux, préemballée",Part,150g
fd5abc32-7858-4068-ab5b-0cb1a31243f2,"Tarte au saumon, préemballée",Part,150g
d3d07d60-ba9f-43f0-a816-caa40903f491,"Tourte au riesling, préemballée",Part,150g
296eac11-63b8-44be-bd9d-62d870c7e0f5,"Tarte à la tomate, préemballée",Part,150g
d5602b64-475a-4dfb-b28a-3dfc6f22a06b,"Crêpe ou Galette complète (oeuf, jambon, fromage), préemballée",Crêpe entière,200g
b87a5769-e48e-4e1c-b945-a2369a33f516,"Pizza aux lardons, oignons et fromage, préemballée",Part,150g
ffa29942-8b3c-4076-aa58-27bbc6738f7d,"Crêpe ou Galette aux noix de St Jacques, préemballée",Crêpe entière,200g
0fbe4682-97e7-41e3-a93e-bab14a2761de,Tarte ou quiche salée (aliment moyen),Part,150g
3790d448-0aec-43bc-b309-96567022a550,"Anchois, filets à l'huile, semi-conserve, égoutté",Filet,10g
b0667ee3-4840-469d-99c7-aeb572e18c3a,"Crêpe ou Galette fourrée béchamel champignon, cuite, préemballée",Crêpe entière,200g
a6eef620-6999-4a9e-84dc-cb7cb751dd49,"Tarte au maroilles ou Flamiche au maroilles, préemballée",Part,150g
257f3ad2-ba4c-453c-9039-51f4b81d8f46,"Crêpe ou Galette fourrée au poisson et / ou fruits de mer, préemballée",Crêpe entière,200g
28198a35-5155-4fab-bf0c-39ea6777b0e9,"Ficelle picarde, préemballée",Part,150g
4b583234-398a-4f00-8ec9-4691008bbd87,"Tarte épinard chèvre, préemballée",Part,150g
d468b188-9e8a-4e25-bd6a-9d048176497d,"Tielle sétoise, préemballée",Part,150g
25f38361-583c-4c25-b723-959dbd18279c,"Pizza au thon, préemballée",Part,150g
95b15ab3-be87-4f79-90b8-e81a04407060,"Pizza kebab, préemballée",Part,150g
0e586845-e5f7-4fda-9344-62fa2b31665c,"Pizza au poulet, préemballée",Part,150g
b79ad74a-1e57-45ed-9d42-fac15182578f,"Pizza type raclette ou tartiflette, préemballée",Part,150g
8536d9d3-169f-448d-8d2c-5a59b7cf5f01,"Pizza au speck ou jambon cru, préemballée",Part,150g
0b019b3b-77a5-46df-a5df-7182cacecc42,"Dorade royale, ou daurade ou vraie daurade, crue, sauvage",Filet,150g
b05cdde7-ac04-44c7-b305-0f2482738cdd,"Hamburger, provenant de fast food",Hamburger,200g
c32cdfd9-1271-4a8f-a5eb-49ff51b4f649,"Cheeseburger, provenant de fast food",Cheeseburger,220g
c0dae491-1a65-4aa4-a38b-e15555f98634,"Burger au poisson, provenant de fast food",Burger,200g
45ef234b-16f8-4d15-89aa-65972c557c02,"Sandwich grec ou Kebab, pita, crudités",Sandwich entier,250g
5f213847-878c-48f4-a30a-36c826eaeabf,"Sandwich grec ou Kebab, baguette, crudités",Sandwich entier,250g
36f69057-bb24-4622-a3e1-8ec3b4203fa7,"Sandwich baguette, thon, crudités (tomate, salade), mayonnaise",Sandwich entier,250g
81c505f2-81ff-4219-a452-2d543cdf4926,"Rouget-barbet de roche, cru",Filet,100g
baeb679c-9603-4bd2-b4e4-d239e83d3dd0,"Sandwich baguette, jambon, oeuf dur, crudités (tomate, salade), beurre",Sandwich entier,250g
